1,Package.Name,bugs,majorBugs,criticalBugs,highPriorityBugs,nonTrivialBugs,N,A,Ce,Ca,I,D,Rsw,PackageName,IC,AC,BCFI,SAVI,NPPI,PPI,MMI,PackageName,IPCI,IIPUD,IIPED,PF,IPSC
25,legacy.lazystart.a,0,0,0,0,0,2,0,3,1,0.75,0.25,0,legacy.lazystart.a,1,0.5,1,1,1,0,0,legacy.lazystart.a,0.991803279,0.6,1,0,0
26,legacy.lazystart.b,0,0,0,0,0,2,0,3,1,0.75,0.25,0,legacy.lazystart.b,1,0.5,1,1,1,0,0,legacy.lazystart.b,0.991803279,0.6,1,0,0
27,legacy.lazystart.b.excluded.a,0,0,0,0,0,1,0,0,1,0,1,0,legacy.lazystart.b.excluded.a,1,0.991735537,1,1,1,0,0,legacy.lazystart.b.excluded.a,0.991803279,1,1,0,0
28,legacy.lazystart.b.excluded.b,0,0,0,0,0,1,0,0,1,0,1,0,legacy.lazystart.b.excluded.b,1,0.991735537,1,1,1,0,0,legacy.lazystart.b.excluded.b,0.991803279,1,1,0,0
29,legacy.lazystart.c,0,0,0,0,0,2,0,3,1,0.75,0.25,0,legacy.lazystart.c,1,0.5,1,1,1,0,0,legacy.lazystart.c,0.991803279,0.6,1,0,0
30,legacy.lazystart.c.excluded.a,0,0,0,0,0,1,0,0,1,0,1,0,legacy.lazystart.c.excluded.a,1,0.991735537,1,1,1,0,0,legacy.lazystart.c.excluded.a,0.991803279,1,1,0,0
31,legacy.lazystart.c.excluded.b,0,0,0,0,0,1,0,0,1,0,1,0,legacy.lazystart.c.excluded.b,1,0.991735537,1,1,1,0,0,legacy.lazystart.c.excluded.b,0.991803279,1,1,0,0
32,nativetest.a1,0,0,0,0,0,1,0,4,0,0,1,0,nativetest.a1,1,0,1,1,1,0,0,nativetest.a1,1,0.625,1,0,0
33,nativetest.a2,0,0,0,0,0,1,0,4,0,0,1,0,nativetest.a2,1,0,1,1,1,0,0,nativetest.a2,1,0.625,1,0,0
34,nativetest.b1,0,0,0,0,0,1,0,4,0,0,1,0,nativetest.b1,1,0,1,1,1,0,0,nativetest.b1,1,0.625,1,0,0
35,nativetest.b2,0,0,0,0,0,1,0,4,0,0,1,0,nativetest.b2,1,0,1,1,1,0,0,nativetest.b2,1,0.625,1,0,0
36,nativetest.c,0,0,0,0,0,1,0,4,0,0,1,0,nativetest.c,1,0,1,1,1,0,0,nativetest.c,1,0.625,1,0,0
37,nativetest.d,0,0,0,0,0,1,0,4,0,0,1,0,nativetest.d,1,0,1,1,1,0,0,nativetest.d,1,0.625,1,0,0
38,org.eclipse.core.launcher,0,0,0,0,0,1,0,2,0,0,1,0,org.eclipse.core.launcher,1,0,1,1,1,0,0,org.eclipse.core.launcher,1,1,1,0,0
39,org.eclipse.core.runtime.adaptor,6,0,0,0,0,3,0,22,5,0.814814815,0.185185185,0.6,org.eclipse.core.runtime.adaptor,1,0,1,0.896715,0.960176991,0,0,org.eclipse.core.runtime.adaptor,0.959016393,0.083333333,1,0,0
40,org.eclipse.core.runtime.internal.adaptor,13,0,0,0,0,27,0.125,37,6,0.860465116,0.014534884,1.3,org.eclipse.core.runtime.internal.adaptor,0.962962963,0.296296296,1,0.970886929,0.918079096,0,0.113207547,org.eclipse.core.runtime.internal.adaptor,0.950819672,0.052151899,1,0,0
41,org.eclipse.core.runtime.internal.stats,0,0,0,0,0,5,0,12,1,0.923076923,0.076923077,0,org.eclipse.core.runtime.internal.stats,1,0.8,1,0.95492823,0.95890411,0.082474227,0,org.eclipse.core.runtime.internal.stats,0.991803279,0.192307692,1,0,0
42,org.eclipse.equinox.internal.launcher,1,1,0,0,0,1,0,1,1,0.5,0.5,0.35,org.eclipse.equinox.internal.launcher,1,0.991735537,1,0.75795082,1,0,0,org.eclipse.equinox.internal.launcher,0.991803279,1,1,0,0
43,org.eclipse.equinox.launcher,4,2,0,0,0,3,0,9,1,0.9,0.1,0.9,org.eclipse.equinox.launcher,1,0.666666667,1,0.968468468,0.989690722,0,0,org.eclipse.equinox.launcher,0.991803279,1,1,0,0
44,org.eclipse.osgi.baseadaptor,5,0,0,0,0,4,0.333333333,18,11,0.620689655,0.045977011,0.5,org.eclipse.osgi.baseadaptor,0.991735537,0.25,1,0.996362705,0.945054945,0,0,org.eclipse.osgi.baseadaptor,0.909836066,0.092532468,1,0,0
45,org.eclipse.osgi.baseadaptor.bundlefile,6,1,1,0,0,9,0.285714286,16,10,0.615384615,0.098901099,0.85,org.eclipse.osgi.baseadaptor.bundlefile,0.991735537,0.333333333,1,0.958950617,0.941176471,0.022727273,0.686567164,org.eclipse.osgi.baseadaptor.bundlefile,0.918032787,0.152941176,1,0,0
46,org.eclipse.osgi.baseadaptor.hooks,0,0,0,0,0,6,0,12,6,0.666666667,0.333333333,0,org.eclipse.osgi.baseadaptor.hooks,1,1,1,1,1,0,0,org.eclipse.osgi.baseadaptor.hooks,0.950819672,0.236111111,1,0,0
47,org.eclipse.osgi.baseadaptor.loader,1,0,0,0,0,4,0.333333333,15,7,0.681818182,0.015151515,0.1,org.eclipse.osgi.baseadaptor.loader,1,0.25,1,1,0.96969697,0,0,org.eclipse.osgi.baseadaptor.loader,0.942622951,0.147368421,1,0,0
48,org.eclipse.osgi.event,0,0,0,0,0,1,0,1,1,0.5,0.5,0,org.eclipse.osgi.event,1,1,1,1,1,0,0,org.eclipse.osgi.event,0.991803279,1,1,0,0
49,org.eclipse.osgi.framework.adaptor,0,0,0,0,0,13,12,8,15,0.347826087,11.34782609,0,org.eclipse.osgi.framework.adaptor,0.983471074,0.950413223,1,0.925362547,1,0,0,org.eclipse.osgi.framework.adaptor,0.87704918,0.4,1,0,0
50,org.eclipse.osgi.framework.console,0,0,0,0,0,2,0,3,2,0.6,0.4,0,org.eclipse.osgi.framework.console,1,1,1,1,1,0,0,org.eclipse.osgi.framework.console,0.983606557,1,1,0,0
51,org.eclipse.osgi.framework.debug,0,0,0,0,0,2,0,7,12,0.368421053,0.631578947,0,org.eclipse.osgi.framework.debug,1,0.5,1,0.937748385,0.909090909,0,0,org.eclipse.osgi.framework.debug,0.901639344,0.75,1,0,0
52,org.eclipse.osgi.framework.eventmgr,5,0,0,0,0,4,0.333333333,3,3,0.5,0.166666667,0.5,org.eclipse.osgi.framework.eventmgr,1,0.975206612,1,1,1,0,0,org.eclipse.osgi.framework.eventmgr,0.975409836,1,1,0,0
53,org.eclipse.osgi.framework.internal.core,99,0,0,0,0,60,0.090909091,30,22,0.576923077,0.332167832,9.9,org.eclipse.osgi.framework.internal.core,0.95,0.433333333,1,0.950599126,0.92370892,0.023631841,0,org.eclipse.osgi.framework.internal.core,0.819672131,0.051971326,0.75,0,0
54,org.eclipse.osgi.framework.internal.protocol,1,0,0,0,0,10,0.25,15,1,0.9375,0.1875,0.1,org.eclipse.osgi.framework.internal.protocol,1,0.4,1,0.971666667,1,0,0,org.eclipse.osgi.framework.internal.protocol,0.991803279,0.166666667,1,0,0
55,org.eclipse.osgi.framework.internal.protocol.bundleentry,0,0,0,0,0,1,0,5,1,0.833333333,0.166666667,0,org.eclipse.osgi.framework.internal.protocol.bundleentry,0,0,1,1,1,0,0,org.eclipse.osgi.framework.internal.protocol.bundleentry,0.991803279,0.466666667,1,0,0
56,org.eclipse.osgi.framework.internal.protocol.bundleresource,0,0,0,0,0,1,0,7,1,0.875,0.125,0,org.eclipse.osgi.framework.internal.protocol.bundleresource,0,0,1,1,1,0,0,org.eclipse.osgi.framework.internal.protocol.bundleresource,0.991803279,0.4,1,0,0
57,org.eclipse.osgi.framework.internal.protocol.reference,0,0,0,0,0,1,0,3,0,0,1,0,org.eclipse.osgi.framework.internal.protocol.reference,1,1,1,1,1,0,0,org.eclipse.osgi.framework.internal.protocol.reference,1,1,1,0,0
58,org.eclipse.osgi.framework.internal.reliablefile,0,0,0,0,0,3,0,5,1,0.833333333,0.166666667,0,org.eclipse.osgi.framework.internal.reliablefile,1,0.666666667,1,0.929393568,1,0,0,org.eclipse.osgi.framework.internal.reliablefile,0.991803279,1,1,0,0
59,org.eclipse.osgi.framework.launcher,1,0,0,0,0,1,0,7,1,0.875,0.125,0.1,org.eclipse.osgi.framework.launcher,1,0,1,1,1,0,0,org.eclipse.osgi.framework.launcher,0.991803279,0.428571429,1,0,0
60,org.eclipse.osgi.framework.log,0,0,0,0,0,2,1,3,11,0.214285714,0.214285714,0,org.eclipse.osgi.framework.log,1,0.925619835,1,0.813695355,1,0,0,org.eclipse.osgi.framework.log,0.909836066,1,1,0,0
61,org.eclipse.osgi.framework.util,2,0,0,0,0,4,0.333333333,10,12,0.454545455,0.212121212,0.2,org.eclipse.osgi.framework.util,0.991735537,0.5,1,1,1,0,0.094339623,org.eclipse.osgi.framework.util,0.901639344,0.333333333,1,0,0
62,org.eclipse.osgi.internal.baseadaptor,13,0,0,0,0,16,0,26,10,0.722222222,0.277777778,1.3,org.eclipse.osgi.internal.baseadaptor,0.8125,0.1875,1,0.963754753,0.883280757,0,0,org.eclipse.osgi.internal.baseadaptor,0.918032787,0.065789474,0.555555556,0,0
63,org.eclipse.osgi.internal.module,7,0,0,0,0,13,0.181818182,13,2,0.866666667,0.048484848,0.7,org.eclipse.osgi.internal.module,1,0.615384615,1,0.956202451,0.951672862,0,0,org.eclipse.osgi.internal.module,0.983606557,0.151515152,1,0,0
64,org.eclipse.osgi.internal.profile,0,0,0,0,0,3,0.5,5,3,0.625,0.125,0,org.eclipse.osgi.internal.profile,1,0.333333333,1,0.946363518,0.833333333,0,0,org.eclipse.osgi.internal.profile,0.975409836,0.75,1,0,0
65,org.eclipse.osgi.internal.provisional.service.security,1,0,0,0,0,4,1,6,2,0.75,0.75,0.1,org.eclipse.osgi.internal.provisional.service.security,0.991735537,0.75,1,0.915129781,1,0,0,org.eclipse.osgi.internal.provisional.service.security,0.975409836,0.357142857,1,0,0
66,org.eclipse.osgi.internal.provisional.verifier,0,0,0,0,0,4,0,6,1,0.857142857,0.142857143,0,org.eclipse.osgi.internal.provisional.verifier,1,1,1,1,1,0,0,org.eclipse.osgi.internal.provisional.verifier,0.991803279,1,1,0,0
67,org.eclipse.osgi.internal.resolver,39,0,0,0,0,25,0.136363636,15,3,0.833333333,0.03030303,3.9,org.eclipse.osgi.internal.resolver,0.96,0.2,1,0.973370072,0.850806452,0.006224066,0,org.eclipse.osgi.internal.resolver,0.975409836,0.133333333,1,0,0
68,org.eclipse.osgi.internal.service.security,0,0,0,0,0,2,0,15,2,0.882352941,0.117647059,0,org.eclipse.osgi.internal.service.security,0,0,1,0.988105845,0.975609756,0,0,org.eclipse.osgi.internal.service.security,0.983606557,0.136363636,0.75,0,0
69,org.eclipse.osgi.internal.signedcontent,7,0,0,0,0,18,0.058823529,23,1,0.958333333,0.017156863,0.7,org.eclipse.osgi.internal.signedcontent,0.888888889,0.5,0.923076923,0.94720871,0.927835052,0.060606061,0,org.eclipse.osgi.internal.signedcontent,0.983606557,0.088372093,0.75,0,0
70,org.eclipse.osgi.service.datalocation,0,0,0,0,0,1,0,3,4,0.428571429,0.571428571,0,org.eclipse.osgi.service.datalocation,1,1,1,1,1,0,0,org.eclipse.osgi.service.datalocation,0.967213115,1,1,0,0
71,org.eclipse.osgi.service.debug,0,0,0,0,0,1,0,1,2,0.333333333,0.666666667,0,org.eclipse.osgi.service.debug,1,1,1,1,1,0,0,org.eclipse.osgi.service.debug,0.983606557,1,1,0,0
72,org.eclipse.osgi.service.environment,0,0,0,0,0,2,0,1,4,0.2,0.8,0,org.eclipse.osgi.service.environment,1,1,1,0.915901639,1,0,0,org.eclipse.osgi.service.environment,0.967213115,1,1,0,0
73,org.eclipse.osgi.service.localization,0,0,0,0,0,1,0,3,1,0.75,0.25,0,org.eclipse.osgi.service.localization,1,1,1,1,1,0,0,org.eclipse.osgi.service.localization,0.991803279,1,1,0,0
74,org.eclipse.osgi.service.pluginconversion,0,0,0,0,0,2,1,3,1,0.75,0.75,0,org.eclipse.osgi.service.pluginconversion,1,0.991735537,1,1,1,0,0,org.eclipse.osgi.service.pluginconversion,0.991803279,1,1,0,0
75,org.eclipse.osgi.service.resolver,3,0,0,0,1,21,9.5,5,13,0.277777778,8.777777778,0.45,org.eclipse.osgi.service.resolver,1,0.925619835,1,0.914248851,1,0,0,org.eclipse.osgi.service.resolver,0.893442623,0.6,1,0,0
76,org.eclipse.osgi.service.runnable,0,0,0,0,0,4,0,1,2,0.333333333,0.666666667,0,org.eclipse.osgi.service.runnable,1,1,1,1,1,0,0,org.eclipse.osgi.service.runnable,0.983606557,1,1,0,0
77,org.eclipse.osgi.service.security,0,0,0,0,0,1,0,5,2,0.714285714,0.285714286,0,org.eclipse.osgi.service.security,0.991735537,0,1,1,1,0,0.056603774,org.eclipse.osgi.service.security,0.975409836,1,1,0,0
78,org.eclipse.osgi.service.urlconversion,0,0,0,0,0,1,0,2,2,0.5,0.5,0,org.eclipse.osgi.service.urlconversion,1,1,1,1,1,0,0,org.eclipse.osgi.service.urlconversion,0.983606557,1,1,0,0
79,org.eclipse.osgi.signedcontent,0,0,0,0,0,5,4,6,4,0.6,3.6,0,org.eclipse.osgi.signedcontent,1,0.983471074,1,1,1,0,0,org.eclipse.osgi.signedcontent,0.959016393,1,1,0,0
80,org.eclipse.osgi.storagemanager,2,0,0,0,2,2,0,7,3,0.7,0.3,0.5,org.eclipse.osgi.storagemanager,1,0.5,1,0.901785714,1,0,0,org.eclipse.osgi.storagemanager,0.975409836,0.428571429,1,0,0
81,org.eclipse.osgi.tests,0,0,0,0,0,3,0,13,9,0.590909091,0.409090909,0,org.eclipse.osgi.tests,0.958677686,0.666666667,1,0.884107468,1,0,0,org.eclipse.osgi.tests,0.926229508,0.166666667,1,0,0
82,org.eclipse.osgi.tests.appadmin,0,0,0,0,0,4,0,9,1,0.9,0.1,0,org.eclipse.osgi.tests.appadmin,0.75,0.75,1,0.963541667,1,0,0,org.eclipse.osgi.tests.appadmin,0.991803279,0.325,1,0,0
83,org.eclipse.osgi.tests.bundles,3,0,0,0,0,13,0.083333333,13,26,0.333333333,0.583333333,0.3,org.eclipse.osgi.tests.bundles,1,0.461538462,1,0.971911005,1,0,0,org.eclipse.osgi.tests.bundles,0.737704918,0.157407407,1,0,0
84,org.eclipse.osgi.tests.configuration,0,0,0,0,0,3,0,5,1,0.833333333,0.166666667,0,org.eclipse.osgi.tests.configuration,0.333333333,0.333333333,1,1,1,0,0,org.eclipse.osgi.tests.configuration,0.991803279,0.666666667,1,0,0
85,org.eclipse.osgi.tests.eclipseadaptor,0,0,0,0,0,3,0,5,1,0.833333333,0.166666667,0,org.eclipse.osgi.tests.eclipseadaptor,0.666666667,0.333333333,1,1,1,0,0,org.eclipse.osgi.tests.eclipseadaptor,0.991803279,0.555555556,1,0,0
86,org.eclipse.osgi.tests.internal.plugins,0,0,0,0,0,1,0,8,1,0.888888889,0.111111111,0,org.eclipse.osgi.tests.internal.plugins,1,0,1,1,1,0,0,org.eclipse.osgi.tests.internal.plugins,0.991803279,0.333333333,1,0,0
87,org.eclipse.osgi.tests.listeners,0,0,0,0,0,1,0,6,1,0.857142857,0.142857143,0,org.eclipse.osgi.tests.listeners,1,0,1,1,1,0,0,org.eclipse.osgi.tests.listeners,0.991803279,0.6,1,0,0
88,org.eclipse.osgi.tests.perf,0,0,0,0,0,4,0,7,0,0,1,0,org.eclipse.osgi.tests.perf,0.75,0.5,1,1,0.923076923,0,0,org.eclipse.osgi.tests.perf,1,0.541666667,1,0,0
89,org.eclipse.osgi.tests.resolver,0,0,0,0,0,34,0,5,1,0.833333333,0.166666667,0,org.eclipse.osgi.tests.resolver,0,0,1,1,1,0,0,org.eclipse.osgi.tests.resolver,0.991803279,0.571428571,1,0,0
90,org.eclipse.osgi.tests.security,0,0,0,0,0,7,0,12,1,0.923076923,0.076923077,0,org.eclipse.osgi.tests.security,1,0.142857143,1,0.973639456,1,0,0,org.eclipse.osgi.tests.security,0.991803279,0.187969925,1,0,0
91,org.eclipse.osgi.tests.services.datalocation,0,0,0,0,0,6,0,13,1,0.928571429,0.071428571,0,org.eclipse.osgi.tests.services.datalocation,0.5,0.166666667,1,1,1,0,0,org.eclipse.osgi.tests.services.datalocation,0.991803279,0.228571429,1,0,0
92,org.eclipse.osgi.tests.services.resolver,0,0,0,0,0,15,0.071428571,8,3,0.727272727,0.201298701,0,org.eclipse.osgi.tests.services.resolver,0.866666667,0.133333333,1,0.965418944,1,0,0,org.eclipse.osgi.tests.services.resolver,0.975409836,0.213793103,0.75,0,0
93,org.eclipse.osgi.tests.util,0,0,0,0,0,7,0.166666667,6,1,0.857142857,0.023809524,0,org.eclipse.osgi.tests.util,1,0.428571429,1,0.986426646,1,0,0,org.eclipse.osgi.tests.util,0.991803279,0.625,1,0,0
94,org.eclipse.osgi.util,1,0,0,0,0,3,0.5,9,17,0.346153846,0.153846154,0.1,org.eclipse.osgi.util,0.958677686,0.333333333,1,1,1,0,0,org.eclipse.osgi.util,0.860655738,0.375,1,0,0
95,org.osgi.framework,18,0,0,0,0,29,0.933333333,6,64,0.085714286,0.019047619,1.8,org.osgi.framework,0.983471074,0.652892562,1,0.953478349,1,0,0.033660589,org.osgi.framework,0.418032787,1,1,0,0
96,org.osgi.service.condpermadmin,3,0,0,0,0,7,0.75,7,1,0.875,0.625,0.3,org.osgi.service.condpermadmin,1,0.714285714,1,0.93593175,1,0,0.466666667,org.osgi.service.condpermadmin,0.991803279,0.357142857,1,0,0
97,org.osgi.service.packageadmin,0,0,0,0,0,3,0,2,6,0.25,0.75,0,org.osgi.service.packageadmin,1,1,1,0.915983607,1,0,0,org.osgi.service.packageadmin,0.950819672,1,1,0,0
98,org.osgi.service.permissionadmin,1,0,0,0,0,2,1,1,2,0.333333333,0.333333333,0.1,org.osgi.service.permissionadmin,1,0.991735537,1,1,1,0,0,org.osgi.service.permissionadmin,0.983606557,1,1,0,0
99,org.osgi.service.startlevel,0,0,0,0,0,1,0,1,4,0.2,0.8,0,org.osgi.service.startlevel,1,1,1,1,1,0,0,org.osgi.service.startlevel,0.967213115,1,1,0,0
100,org.osgi.service.url,1,0,0,0,0,4,0,3,1,0.75,0.25,0.1,org.osgi.service.url,1,1,1,0.936987705,1,0,0.111111111,org.osgi.service.url,0.991803279,1,1,0,0
101,org.osgi.util.tracker,1,0,0,0,0,2,1,5,9,0.357142857,0.357142857,0.1,org.osgi.util.tracker,1,0.5,1,1,1,0,0,org.osgi.util.tracker,0.926229508,0.583333333,1,0,0
102,osgi.lazystart,0,0,0,0,0,5,0,7,0,0,1,0,osgi.lazystart,1,0,1,1,1,1,0,osgi.lazystart,1,0.234375,1,0,0
103,osgi.lazystart.a,0,0,0,0,0,2,0,3,1,0.75,0.25,0,osgi.lazystart.a,1,0.5,1,1,1,0,0,osgi.lazystart.a,0.991803279,0.6,1,0,0
104,osgi.lazystart.b,0,0,0,0,0,2,0,3,1,0.75,0.25,0,osgi.lazystart.b,1,0.5,1,1,1,0,0,osgi.lazystart.b,0.991803279,0.6,1,0,0
105,osgi.lazystart.b.excluded.a,0,0,0,0,0,1,0,0,1,0,1,0,osgi.lazystart.b.excluded.a,1,0.991735537,1,1,1,0,0,osgi.lazystart.b.excluded.a,0.991803279,1,1,0,0
106,osgi.lazystart.b.excluded.b,0,0,0,0,0,1,0,0,1,0,1,0,osgi.lazystart.b.excluded.b,1,0.991735537,1,1,1,0,0,osgi.lazystart.b.excluded.b,0.991803279,1,1,0,0
107,osgi.lazystart.c,0,0,0,0,0,2,0,3,1,0.75,0.25,0,osgi.lazystart.c,1,0.5,1,1,1,0,0,osgi.lazystart.c,0.991803279,0.6,1,0,0
108,osgi.lazystart.c.excluded.a,0,0,0,0,0,1,0,0,1,0,1,0,osgi.lazystart.c.excluded.a,1,0.991735537,1,1,1,0,0,osgi.lazystart.c.excluded.a,0.991803279,1,1,0,0
109,osgi.lazystart.c.excluded.b,0,0,0,0,0,1,0,0,1,0,1,0,osgi.lazystart.c.excluded.b,1,0.991735537,1,1,1,0,0,osgi.lazystart.c.excluded.b,0.991803279,1,1,0,0
110,substitutes.q,0,0,0,0,0,2,0,0,0,0,1,0,substitutes.q,1,1,1,1,1,0,0,substitutes.q,1,1,1,0,0
111,substitutes.x,0,0,0,0,0,8,0,0,0,0,1,0,substitutes.x,1,1,1,1,1,0,0,substitutes.x,1,1,1,0,0
112,substitutes.y,0,0,0,0,0,8,0,0,0,0,1,0,substitutes.y,1,1,1,1,1,0,0,substitutes.y,1,1,1,0,0
113,substitutes.z,0,0,0,0,0,2,0,0,0,0,1,0,substitutes.z,1,1,1,1,1,0,0,substitutes.z,1,1,1,0,0
114,test.bug235958.x,0,0,0,0,0,2,0,0,1,0,1,0,test.bug235958.x,1,0.991735537,1,1,1,0,0,test.bug235958.x,0.991803279,1,1,0,0
115,test.bug235958.x.internal,0,0,0,0,0,1,0,3,0,0,1,0,test.bug235958.x.internal,1,0,1,1,1,0,0,test.bug235958.x.internal,1,0.666666667,1,0,0
116,test.bug235958.y,0,0,0,0,0,1,0,0,0,0,1,0,test.bug235958.y,1,1,1,1,1,0,0,test.bug235958.y,1,1,1,0,0
117,test.bug235958.y.internal,0,0,0,0,0,1,0,2,0,0,1,0,test.bug235958.y.internal,1,1,1,1,1,0,0,test.bug235958.y.internal,1,1,1,0,0
118,test1,0,0,0,0,0,1,0,3,0,0,1,0,test1,1,0,1,1,1,0,0,test1,1,0.6,1,0,0
119,thread.locktest,0,0,0,0,0,3,0,4,0,0,1,0,thread.locktest,1,0.666666667,1,1,1,0,0,thread.locktest,1,0.6,1,0,0
120,xfriends.test1.external,0,0,0,0,0,1,0,0,0,0,1,0,xfriends.test1.external,1,1,1,1,1,0,0,xfriends.test1.external,1,1,1,0,0
121,xfriends.test1.onlyforfriends,0,0,0,0,0,1,0,0,0,0,1,0,xfriends.test1.onlyforfriends,1,1,1,1,1,0,0,xfriends.test1.onlyforfriends,1,1,1,0,0
122,xfriends.test2,0,0,0,0,0,1,0,3,0,0,1,0,xfriends.test2,1,0,1,1,1,0,0,xfriends.test2,1,0.625,1,0,0
123,xfriends.test3,0,0,0,0,0,1,0,3,0,0,1,0,xfriends.test3,1,0,1,1,1,0,0,xfriends.test3,1,0.625,1,0,0
