,Package.Name,bugs,majorBugs,criticalBugs,highPriorityBugs,nonTrivialBugs,N,A,Ce,Ca,I,D,Rsw ,PackageName,IC,AC,BCFI,SAVI,NPPI,PPI,MMI,org.eclipse.pde.core,0.348484848,1,1,0,0
11,org.eclipse.pde.internal.core.feature,1,1,0,0,0,16,0.142857143,13,8,0.619047619,0.238095238,0.35,org.eclipse.pde.internal.core.exports,1,0.285714286,1,0.850224181,0.990909091,0,0,org.eclipse.pde.internal.core.feature,0.939393939,0.18699187,1,0,0
12,org.eclipse.pde.internal.core.natures,0,0,0,0,0,5,0.25,4,11,0.266666667,0.483333333,0,org.eclipse.pde.internal.core.feature,0.9375,0.4375,1,0.965891335,0.508196721,0,0,org.eclipse.pde.internal.core.ibundle,0.795454545,1,0.393939394,0,0
13,org.eclipse.pde.internal.core.plugin,6,4,0,0,0,31,0.476190476,18,19,0.486486486,0.037323037,1.6,org.eclipse.pde.internal.core.ibundle,1,1,1,1,1,0,0,org.eclipse.pde.internal.core.icheatsheet,0.984848485,1,1,0,0
14,org.eclipse.pde.internal.core.product,6,2,1,0,0,15,0.071428571,11,4,0.733333333,0.195238095,1.35,org.eclipse.pde.internal.core.icheatsheet,0.984732824,1,1,0.831439394,1,0,0,org.eclipse.pde.internal.core.icheatsheet.comp,0.954545455,1,0.625,0,0
15,org.eclipse.pde.internal.core.schema,1,1,0,0,0,24,0.142857143,14,17,0.451612903,0.405529954,0.35,org.eclipse.pde.internal.core.icheatsheet.comp,1,1,1,0.981319606,1,0,0,org.eclipse.pde.internal.core.icheatsheet.simple,0.939393939,1,0.466666667,0,0
16,org.eclipse.pde.internal.core.search,0,0,0,0,0,6,0.2,8,3,0.727272727,0.072727273,0,org.eclipse.pde.internal.core.icheatsheet.simple,1,1,1,0.987047302,1,0,0,org.eclipse.pde.internal.core.ictxhelp,0.96969697,1,1,0,0
17,org.eclipse.pde.internal.core.site,1,0,0,0,0,13,0.181818182,11,4,0.733333333,0.084848485,0.1,org.eclipse.pde.internal.core.ictxhelp,1,1,1,0.758049242,1,0,0,org.eclipse.pde.internal.core.ifeature,0.825757576,1,0.583333333,0,0
18,org.eclipse.pde.internal.core.target,4,2,0,0,0,13,0.083333333,11,3,0.785714286,0.130952381,0.9,org.eclipse.pde.internal.core.ifeature,0.992366412,1,1,0.816666667,1,0,0,org.eclipse.pde.internal.core.iproduct,0.931818182,1,1,0,0
19,org.eclipse.pde.internal.core.text,3,0,0,0,0,23,10.5,11,35,0.239130435,9.739130435,0.3,org.eclipse.pde.internal.core.iproduct,1,1,1,0.884431045,1,0,0,org.eclipse.pde.internal.core.ischema,0.856060606,1,1,0,0
20,org.eclipse.pde.internal.core.text.build,0,0,0,0,0,5,0,8,7,0.533333333,0.466666667,0,org.eclipse.pde.internal.core.ischema,1,1,1,0.88891547,1,0,0,org.eclipse.pde.internal.core.isite,0.962121212,1,0.625,0,0
21,org.eclipse.pde.internal.core.text.bundle,0,0,0,0,0,29,0.035714286,10,18,0.357142857,0.607142857,0,org.eclipse.pde.internal.core.isite,1,1,1,0.804082492,1,0,0.010752688,org.eclipse.pde.internal.core.itarget,0.954545455,1,1,0,0
22,org.eclipse.pde.internal.core.text.cheatsheet.simple,0,0,0,0,0,17,0.133333333,13,2,0.866666667,0,0,org.eclipse.pde.internal.core.itarget,1,1,1,0.852430556,1,0,0,org.eclipse.pde.internal.core.itoc,0.96969697,1,1,0,0
23,org.eclipse.pde.internal.core.text.ctxhelp,0,0,0,0,0,9,0.125,8,4,0.666666667,0.208333333,0,org.eclipse.pde.internal.core.itoc,1,1,1,0.742424242,1,0,0,org.eclipse.pde.internal.core.natures,0.916666667,1,1,0,0
24,org.eclipse.pde.internal.core.text.plugin,1,1,0,0,0,18,0.125,14,20,0.411764706,0.463235294,0.35,org.eclipse.pde.internal.core.natures,1,0.6,1,0.897083333,1,0,0,org.eclipse.pde.internal.core.plugin,0.856060606,0.115789474,0.75,0,0
25,org.eclipse.pde.internal.core.text.toc,0,0,0,0,0,8,0.142857143,8,6,0.571428571,0.285714286,0,org.eclipse.pde.internal.core.plugin,0.903225806,0.483870968,0.928571429,0.975905161,0.690298507,0.005154639,0.013245033,org.eclipse.pde.internal.core.product,0.96969697,0.232,1,0,0
26,org.eclipse.pde.internal.core.util,10,4,0,0,0,20,0,18,55,0.246575342,0.753424658,2,org.eclipse.pde.internal.core.product,0.933333333,0.733333333,0.928571429,0.99246633,0.814814815,0,0,org.eclipse.pde.internal.core.schema,0.871212121,0.184027778,1,0,0
27,org.eclipse.pde.internal.core.variables,0,0,0,0,0,5,0,2,0,0,1,0,org.eclipse.pde.internal.core.schema,1,0.541666667,1,0.978280353,0.867021277,0,0,org.eclipse.pde.internal.core.search,0.977272727,0.2875,1,0,0
28,org.eclipse.pde.internal.runtime,2,1,0,0,0,6,0.2,6,4,0.6,0.2,0.45,org.eclipse.pde.internal.core.search,1,0.333333333,1,0.916035354,1,0,0,org.eclipse.pde.internal.core.site,0.96969697,0.285714286,1,0,0
29,org.eclipse.pde.internal.runtime.registry,1,1,0,0,0,18,0.384615385,10,0,0,0.615384615,0.35,org.eclipse.pde.internal.core.site,0.923076923,0.769230769,0.909090909,0.959623603,0.469879518,0,0,org.eclipse.pde.internal.core.target,0.977272727,0.233333333,1,0,0
30,org.eclipse.pde.internal.runtime.spy,0,0,0,0,0,2,0,9,2,0.818181818,0.181818182,0,org.eclipse.pde.internal.core.target,0.923076923,0.769230769,0.916666667,1,0.845360825,0,0,org.eclipse.pde.internal.core.text,0.727272727,0.294117647,1,0,0
31,org.eclipse.pde.internal.runtime.spy.dialogs,0,0,0,0,0,1,0,5,2,0.714285714,0.285714286,0,org.eclipse.pde.internal.core.text,0.93129771,0.608695652,0.7,0.919204142,0.738219895,0,0.682819383,org.eclipse.pde.internal.core.text.build,0.946969697,0.253333333,1,0,0
32,org.eclipse.pde.internal.runtime.spy.handlers,0,0,0,0,0,1,0,2,0,0,1,0,org.eclipse.pde.internal.core.text.build,0.6,0.2,1,1,0.857142857,0,0,org.eclipse.pde.internal.core.text.bundle,0.863636364,0.187969925,0.666666667,0,0
33,org.eclipse.pde.internal.runtime.spy.sections,0,0,0,0,0,7,0.166666667,5,1,0.833333333,0,0,org.eclipse.pde.internal.core.text.bundle,0.827586207,0.689655172,1,0.988355699,0.895953757,0,0,org.eclipse.pde.internal.core.text.cheatsheet.simple,0.977272727,0.172413793,1,0,0
34,org.eclipse.pde.internal.ui,35,1,0,0,2,11,0.375,30,64,0.319148936,0.305851064,4.05,org.eclipse.pde.internal.core.text.cheatsheet.simple,0.705882353,0.705882353,0.941176471,1,0.528301887,0,0.028571429,org.eclipse.pde.internal.core.text.ctxhelp,0.96969697,0.357142857,1,0,0
35,org.eclipse.pde.internal.ui.build,2,0,0,0,0,8,0.142857143,21,2,0.913043478,0.055900621,0.2,org.eclipse.pde.internal.core.text.ctxhelp,0.555555556,0.777777778,1,1,0.660377358,0,0.25,org.eclipse.pde.internal.core.text.plugin,0.848484848,0.130023641,1,0,0
36,org.eclipse.pde.internal.ui.commands,0,0,0,0,0,11,0.222222222,6,0,0,0.777777778,0,org.eclipse.pde.internal.core.text.plugin,0.722222222,0.555555556,0.916666667,1,0.561904762,0.012096774,0,org.eclipse.pde.internal.core.text.toc,0.954545455,0.357142857,1,0,0
37,org.eclipse.pde.internal.ui.compare,2,0,0,0,0,9,0,10,0,0,1,0.2,org.eclipse.pde.internal.core.text.toc,0.5,0.75,1,1,0.709090909,0,0.22,org.eclipse.pde.internal.core.util,0.560606061,0.150735294,1,0,0
38,org.eclipse.pde.internal.ui.correction,0,0,0,0,0,43,0.102564103,25,0,0,0.897435897,0,org.eclipse.pde.internal.core.util,1,0.557251908,1,0.995871212,0.992424242,0,0,org.eclipse.pde.internal.core.variables,1,1,1,0,0
39,org.eclipse.pde.internal.ui.correction.java,0,0,0,0,0,4,0,7,0,0,1,0,org.eclipse.pde.internal.core.variables,1,0,1,1,1,0,0,org.eclipse.pde.internal.junit.runtime,1,1,1,0,0
40,org.eclipse.pde.internal.ui.editor,8,0,0,0,2,56,1.074074074,43,31,0.581081081,0.655155155,1.1,org.eclipse.pde.internal.junit.runtime,1,1,1,1,1,0,0,org.eclipse.pde.internal.runtime,0.96969697,1,1,0,0
41,org.eclipse.pde.internal.ui.editor.actions,0,0,0,0,0,8,0,21,12,0.636363636,0.363636364,0,org.eclipse.pde.internal.runtime,1,0.969465649,1,0.89322002,1,0,0,org.eclipse.pde.internal.runtime.registry,1,1,1,0,0
42,org.eclipse.pde.internal.ui.editor.build,3,0,0,0,0,18,0.058823529,21,4,0.84,0.101176471,0.3,org.eclipse.pde.internal.runtime.registry,1,0.833333333,1,0.975308642,1,0,0,org.eclipse.pde.internal.runtime.spy,0.984848485,0.25,1,0,0
43,org.eclipse.pde.internal.ui.editor.cheatsheet,0,0,0,0,0,5,0,5,4,0.555555556,0.444444444,0,org.eclipse.pde.internal.runtime.spy,1,0,1,1,1,0,0,org.eclipse.pde.internal.runtime.spy.dialogs,0.984848485,0.393939394,1,0,0
44,org.eclipse.pde.internal.ui.editor.cheatsheet.comp,0,0,0,0,0,11,0,21,1,0.954545455,0.045454545,0,org.eclipse.pde.internal.runtime.spy.dialogs,1,0,1,1,1,0,0,org.eclipse.pde.internal.runtime.spy.handlers,1,1,1,0,0
45,org.eclipse.pde.internal.ui.editor.cheatsheet.comp.actions,0,0,0,0,0,4,0.333333333,6,1,0.857142857,0.19047619,0,org.eclipse.pde.internal.runtime.spy.handlers,1,0,1,1,1,0,0,org.eclipse.pde.internal.runtime.spy.sections,0.992424242,0.625,1,0,0
46,org.eclipse.pde.internal.ui.editor.cheatsheet.comp.details,0,0,0,0,0,6,0,12,1,0.923076923,0.076923077,0,org.eclipse.pde.internal.runtime.spy.sections,1,0.142857143,1,1,1,0,1,org.eclipse.pde.internal.ui,0.507575758,0.053645833,1,0,0
47,org.eclipse.pde.internal.ui.editor.cheatsheet.simple,0,0,0,0,0,14,0.076923077,20,1,0.952380952,0.029304029,0,org.eclipse.pde.internal.ui,0.909090909,0.503816794,0.8,0.860686576,0.954285714,0,0,org.eclipse.pde.internal.ui.build,0.984848485,0.091891892,1,0,0
48,org.eclipse.pde.internal.ui.editor.cheatsheet.simple.actions,0,0,0,0,0,6,0,9,1,0.9,0.1,0,org.eclipse.pde.internal.ui.build,1,0,1,0.91796875,0.983050847,0,0,org.eclipse.pde.internal.ui.commands,1,1,1,0,0
49,org.eclipse.pde.internal.ui.editor.cheatsheet.simple.details,0,0,0,0,0,7,0,11,1,0.916666667,0.083333333,0,org.eclipse.pde.internal.ui.commands,1,0.636363636,1,0.968521251,1,0,0,org.eclipse.pde.internal.ui.compare,1,0.201388889,1,0,0
50,org.eclipse.pde.internal.ui.editor.contentassist,4,0,0,0,0,15,0.071428571,23,6,0.793103448,0.13546798,0.4,org.eclipse.pde.internal.ui.compare,1,0.555555556,1,1,0.9375,0,0,org.eclipse.pde.internal.ui.correction,1,0.063571429,1,0,0
51,org.eclipse.pde.internal.ui.editor.contentassist.display,1,0,0,0,0,6,0.5,7,2,0.777777778,0.277777778,0.1,org.eclipse.pde.internal.ui.correction,1,0,1,0.982368848,0.869863014,0,0,org.eclipse.pde.internal.ui.correction.java,1,0.583333333,1,0,0
52,org.eclipse.pde.internal.ui.editor.context,0,0,0,0,0,7,2.5,11,21,0.34375,1.84375,0,org.eclipse.pde.internal.ui.correction.java,1,0.25,1,0.953125,1,0,0,org.eclipse.pde.internal.ui.editor,0.765151515,0.058353808,0.75,0,0
53,org.eclipse.pde.internal.ui.editor.ctxhelp,0,0,0,0,0,9,0,19,1,0.95,0.05,0,org.eclipse.pde.internal.ui.editor,0.893129771,0.517857143,0.71875,0.983862388,0.976,0,0.222383721,org.eclipse.pde.internal.ui.editor.actions,0.909090909,0.105820106,1,0,0
54,org.eclipse.pde.internal.ui.editor.ctxhelp.details,0,0,0,0,0,7,0.4,12,1,0.923076923,0.323076923,0,org.eclipse.pde.internal.ui.editor.actions,1,0.25,1,0.968039773,0.909090909,0,0,org.eclipse.pde.internal.ui.editor.build,0.96969697,0.085714286,0.393939394,0,0
55,org.eclipse.pde.internal.ui.editor.feature,4,1,0,0,0,39,0,31,3,0.911764706,0.088235294,0.65,org.eclipse.pde.internal.ui.editor.build,0.333333333,0.111111111,0.823529412,0.960562971,0.93373494,0.041666667,0,org.eclipse.pde.internal.ui.editor.cheatsheet,0.96969697,0.333333333,1,0,0
56,org.eclipse.pde.internal.ui.editor.outline,0,0,0,0,0,5,0.666666667,7,1,0.875,0.541666667,0,org.eclipse.pde.internal.ui.editor.cheatsheet,0.6,0.6,1,1,0.818181818,0.090909091,0.011904762,org.eclipse.pde.internal.ui.editor.cheatsheet.comp,0.992424242,0.086956522,0.333333333,0,0
57,org.eclipse.pde.internal.ui.editor.plugin,7,2,0,0,0,57,0.036363636,50,20,0.714285714,0.249350649,1.2,org.eclipse.pde.internal.ui.editor.cheatsheet.comp,0.181818182,0.181818182,0.9,0.936811295,0.962616822,0.054945055,0,org.eclipse.pde.internal.ui.editor.cheatsheet.comp.actions,0.992424242,0.34375,1,0,0
58,org.eclipse.pde.internal.ui.editor.plugin.rows,1,1,0,0,0,10,0.428571429,15,1,0.9375,0.366071429,0.35,org.eclipse.pde.internal.ui.editor.cheatsheet.comp.actions,1,0.25,1,0.90625,1,0,0,org.eclipse.pde.internal.ui.editor.cheatsheet.comp.details,0.992424242,0.13,1,0,0
59,org.eclipse.pde.internal.ui.editor.product,6,0,0,0,0,24,0,28,1,0.965517241,0.034482759,0.6,org.eclipse.pde.internal.ui.editor.cheatsheet.comp.details,0.333333333,0,1,1,0.937007874,0,0,org.eclipse.pde.internal.ui.editor.cheatsheet.simple,0.992424242,0.078663793,0.318181818,0,0
60,org.eclipse.pde.internal.ui.editor.schema,5,0,0,0,0,34,0.0625,26,3,0.896551724,0.040948276,0.5,org.eclipse.pde.internal.ui.editor.cheatsheet.simple,0.214285714,0.285714286,0.909090909,0.94884431,0.929936306,0.070422535,0,org.eclipse.pde.internal.ui.editor.cheatsheet.simple.actions,0.992424242,0.236363636,1,0,0
61,org.eclipse.pde.internal.ui.editor.site,2,0,0,0,0,22,0,21,2,0.913043478,0.086956522,0.2,org.eclipse.pde.internal.ui.editor.cheatsheet.simple.actions,1,0,1,1,1,0,0,org.eclipse.pde.internal.ui.editor.cheatsheet.simple.details,0.992424242,0.15625,0.666666667,0,0
62,org.eclipse.pde.internal.ui.editor.target,2,0,0,0,0,19,0,25,1,0.961538462,0.038461538,0.2,org.eclipse.pde.internal.ui.editor.cheatsheet.simple.details,0,0,1,1,0.906779661,0.279069767,0,org.eclipse.pde.internal.ui.editor.contentassist,0.954545455,0.077868852,1,0,0
63,org.eclipse.pde.internal.ui.editor.text,1,0,0,0,0,42,0.272727273,29,18,0.617021277,0.110251451,0.1,org.eclipse.pde.internal.ui.editor.contentassist,1,0.533333333,1,0.989812009,0.987341772,0,0,org.eclipse.pde.internal.ui.editor.contentassist.display,0.984848485,0.5,1,0,0
64,org.eclipse.pde.internal.ui.editor.toc,0,0,0,0,0,17,0,26,4,0.866666667,0.133333333,0,org.eclipse.pde.internal.ui.editor.contentassist.display,1,0.666666667,1,0.987847222,0.973684211,0,0,org.eclipse.pde.internal.ui.editor.context,0.840909091,0.210526316,1,0,0
65,org.eclipse.pde.internal.ui.editor.toc.actions,0,0,0,0,0,5,0.25,6,1,0.857142857,0.107142857,0,org.eclipse.pde.internal.ui.editor.context,0.916030534,0.142857143,0.666666667,0.913729128,1,0,0.055737705,org.eclipse.pde.internal.ui.editor.ctxhelp,0.992424242,0.09077381,0.407407407,0,0
66,org.eclipse.pde.internal.ui.editor.toc.details,0,0,0,0,0,6,0.2,10,2,0.833333333,0.033333333,0,org.eclipse.pde.internal.ui.editor.ctxhelp,0,0,0.888888889,0.917999439,0.89,0.079646018,0,org.eclipse.pde.internal.ui.editor.ctxhelp.details,0.992424242,0.160493827,1,0,0
67,org.eclipse.pde.internal.ui.editor.validation,0,0,0,0,0,5,4,6,3,0.666666667,3.666666667,0,org.eclipse.pde.internal.ui.editor.ctxhelp.details,0.857142857,0,1,1,0.86,0.046153846,0,org.eclipse.pde.internal.ui.editor.feature,0.977272727,0.05529522,0.55,0,0
68,org.eclipse.pde.internal.ui.elements,0,0,0,0,0,9,0.5,3,13,0.1875,0.3125,0,org.eclipse.pde.internal.ui.editor.feature,0.256410256,0.076923077,0.529411765,0.980111769,0.908376963,0.026369168,0,org.eclipse.pde.internal.ui.editor.outline,0.992424242,0.4375,1,0,0
69,org.eclipse.pde.internal.ui.launcher,34,7,2,0,1,37,0.088235294,22,5,0.814814815,0.096949891,5.8,org.eclipse.pde.internal.ui.editor.outline,1,0.6,1,1,1,0,0,org.eclipse.pde.internal.ui.editor.plugin,0.848484848,0.0316824,0.37037037,0,0
70,org.eclipse.pde.internal.ui.nls,0,0,0,0,0,13,0,21,3,0.875,0.125,0,org.eclipse.pde.internal.ui.editor.plugin,0.403508772,0.052631579,0.755102041,0.974110565,0.946285714,0.002409639,0,org.eclipse.pde.internal.ui.editor.plugin.rows,0.992424242,0.104072398,1,0,0
71,org.eclipse.pde.internal.ui.parts,2,0,0,0,0,20,0.333333333,17,27,0.386363636,0.28030303,0.2,org.eclipse.pde.internal.ui.editor.plugin.rows,1,0,1,0.900833333,0.9625,0,0.117647059,org.eclipse.pde.internal.ui.editor.product,0.992424242,0.056060606,0.555555556,0,0
72,org.eclipse.pde.internal.ui.preferences,17,0,0,0,0,21,0.05,27,2,0.931034483,0.018965517,1.7,org.eclipse.pde.internal.ui.editor.product,0.083333333,0.041666667,0.391304348,0.975258096,0.994923858,0.030674847,0,org.eclipse.pde.internal.ui.editor.schema,0.977272727,0.073275862,0.388888889,0,0
73,org.eclipse.pde.internal.ui.properties,0,0,0,0,0,3,0,7,0,0,1,0,org.eclipse.pde.internal.ui.editor.schema,0.588235294,0.029411765,0.8,0.98052594,0.885521886,0.036809816,0,org.eclipse.pde.internal.ui.editor.site,0.984848485,0.1,0.55,0,0
74,org.eclipse.pde.internal.ui.refactoring,1,0,0,0,0,30,0.25,21,5,0.807692308,0.057692308,0.1,org.eclipse.pde.internal.ui.editor.site,0.272727273,0.090909091,0.5,0.974431818,0.986547085,0.025210084,0,org.eclipse.pde.internal.ui.editor.target,0.992424242,0.074775673,0.407407407,0,0
75,org.eclipse.pde.internal.ui.samples,0,0,0,0,0,9,0,17,0,0,1,0,org.eclipse.pde.internal.ui.editor.target,0.157894737,0.052631579,0.888888889,0.958564174,0.991967871,0.023364486,0,org.eclipse.pde.internal.ui.editor.text,0.863636364,0.078431373,1,0,0
76,org.eclipse.pde.internal.ui.search,3,1,0,0,0,17,0.214285714,29,6,0.828571429,0.042857143,0.55,org.eclipse.pde.internal.ui.editor.text,0.984732824,0.547619048,1,0.958434186,0.97761194,0,0.153846154,org.eclipse.pde.internal.ui.editor.toc,0.96969697,0.078389831,0.388888889,0,0
77,org.eclipse.pde.internal.ui.search.dependencies,1,0,0,0,0,18,0,24,7,0.774193548,0.225806452,0.1,org.eclipse.pde.internal.ui.editor.toc,0.294117647,0.117647059,0.941176471,0.946432316,0.945783133,0.071856287,0,org.eclipse.pde.internal.ui.editor.toc.actions,0.992424242,0.416666667,1,0,0
78,org.eclipse.pde.internal.ui.search.dialogs,1,0,0,0,0,2,0,12,0,0,1,0.1,org.eclipse.pde.internal.ui.editor.toc.actions,1,0,1,0.945,1,0,0,org.eclipse.pde.internal.ui.editor.toc.details,0.984848485,0.16875,1,0,0
79,org.eclipse.pde.internal.ui.templates,0,0,0,0,0,4,1,5,3,0.625,0.625,0,org.eclipse.pde.internal.ui.editor.toc.details,0.833333333,0,1,1,0.884057971,0.03125,0,org.eclipse.pde.internal.ui.editor.validation,0.977272727,0.272727273,1,0,0
80,org.eclipse.pde.internal.ui.templates.ide,0,0,0,0,0,26,0.04,8,0,0,0.96,0,org.eclipse.pde.internal.ui.editor.validation,1,0.6,1,1,0.769230769,0,0.117647059,org.eclipse.pde.internal.ui.elements,0.901515152,1,1,0,0
81,org.eclipse.pde.internal.ui.templates.osgi,0,0,0,0,0,8,0,4,0,0,1,0,org.eclipse.pde.internal.ui.elements,0.946564885,0.946564885,1,0.971801347,0.9,0,0,org.eclipse.pde.internal.ui.launcher,0.954545455,0.091575092,1,0,0
82,org.eclipse.pde.internal.ui.templates.rcp,0,0,0,0,0,10,0,7,0,0,1,0,org.eclipse.pde.internal.ui.launcher,0.972972973,0.162162162,0.96875,0.970697696,0.996774194,0,0,org.eclipse.pde.internal.ui.nls,0.977272727,0.084615385,1,0,0
83,org.eclipse.pde.internal.ui.tests.macro,0,0,0,0,0,41,0.28125,14,2,0.875,0.15625,0,org.eclipse.pde.internal.ui.nls,0.923076923,0.307692308,0.857142857,0.994813769,0.839285714,0,0,org.eclipse.pde.internal.ui.parts,0.795454545,0.155555556,1,0,0
84,org.eclipse.pde.internal.ui.util,5,0,0,0,0,25,0.136363636,36,55,0.395604396,0.468031968,0.5,org.eclipse.pde.internal.ui.parts,0.977099237,0.7,0.933333333,0.983143939,0.951807229,0,0,org.eclipse.pde.internal.ui.preferences,0.984848485,0.06867284,1,0,0
85,org.eclipse.pde.internal.ui.views.dependencies,3,1,0,0,0,21,0.05,18,1,0.947368421,0.002631579,0.55,org.eclipse.pde.internal.ui.preferences,0.952380952,0.19047619,1,0.990491651,0.987804878,0,0,org.eclipse.pde.internal.ui.properties,1,0.407407407,1,0,0
86,org.eclipse.pde.internal.ui.views.plugins,1,0,0,0,0,8,0,20,1,0.952380952,0.047619048,0.1,org.eclipse.pde.internal.ui.properties,1,0,1,1,1,0,0,org.eclipse.pde.internal.ui.refactoring,0.962121212,0.082758621,1,0,0
87,org.eclipse.pde.internal.ui.wizards,0,0,0,0,0,19,0.461538462,17,24,0.414634146,0.123827392,0,org.eclipse.pde.internal.ui.refactoring,1,0.266666667,1,0.975277778,0.893129771,0,0,org.eclipse.pde.internal.ui.samples,1,0.236111111,1,0,0
88,org.eclipse.pde.internal.ui.wizards.cheatsheet,0,0,0,0,0,15,0.25,24,4,0.857142857,0.107142857,0,org.eclipse.pde.internal.ui.samples,1,0,1,1,0.9375,0,0,org.eclipse.pde.internal.ui.search,0.954545455,0.069252078,1,0,0
89,org.eclipse.pde.internal.ui.wizards.ctxhelp,0,0,0,0,0,5,0,18,1,0.947368421,0.052631579,0,org.eclipse.pde.internal.ui.search,0.992366412,0.176470588,1,0.985182709,0.969387755,0,0,org.eclipse.pde.internal.ui.search.dependencies,0.946969697,0.081632653,1,0,0
90,org.eclipse.pde.internal.ui.wizards.exports,19,1,0,0,0,20,0.333333333,22,3,0.88,0.213333333,2.15,org.eclipse.pde.internal.ui.search.dependencies,0.888888889,0.055555556,0.928571429,1,0.991735537,0,0,org.eclipse.pde.internal.ui.search.dialogs,1,0.153439153,1,0,0
91,org.eclipse.pde.internal.ui.wizards.extension,0,0,0,0,0,11,0.1,24,2,0.923076923,0.023076923,0,org.eclipse.pde.internal.ui.search.dialogs,1,0,1,1,1,0,0,org.eclipse.pde.internal.ui.templates,0.977272727,1,1,0,0
92,org.eclipse.pde.internal.ui.wizards.feature,2,0,0,0,0,14,0.272727273,21,2,0.913043478,0.185770751,0.2,org.eclipse.pde.internal.ui.templates,0.75,0.977099237,0.5,0.798000198,0.888888889,0,0,org.eclipse.pde.internal.ui.templates.ide,1,0.2,0.75,0,0
93,org.eclipse.pde.internal.ui.wizards.imports,13,2,1,0,0,13,0.181818182,24,2,0.923076923,0.104895105,2.05,org.eclipse.pde.internal.ui.templates.ide,0.076923077,0.038461538,0.5,1,0.733870968,0,0,org.eclipse.pde.internal.ui.templates.osgi,1,0.4,0.75,0,0
94,org.eclipse.pde.internal.ui.wizards.plugin,16,1,0,0,3,19,0.117647059,27,2,0.931034483,0.048681542,2.3,org.eclipse.pde.internal.ui.templates.osgi,0,0,1,1,0.888888889,0.272727273,0,org.eclipse.pde.internal.ui.templates.rcp,1,0.247058824,0.75,0,0
95,org.eclipse.pde.internal.ui.wizards.product,6,0,0,0,0,19,0.117647059,31,4,0.885714286,0.003361345,0.6,org.eclipse.pde.internal.ui.templates.rcp,0,0,0,1,0.910714286,0.222222222,0,org.eclipse.pde.internal.ui.tests.macro,0.984848485,0.555555556,1,0,0
96,org.eclipse.pde.internal.ui.wizards.provisioner,3,0,0,0,0,4,0,10,1,0.909090909,0.090909091,0.3,org.eclipse.pde.internal.ui.tests.macro,1,0.984732824,1,0.951780596,0.950207469,0,0,org.eclipse.pde.internal.ui.util,0.575757576,0.059690494,1,0,0
