,Package.Name,bugs,majorBugs,criticalBugs,highPriorityBugs,nonTrivialBugs,N,A,Ce,Ca,I,D,Rsw,PackageName,IC,AC,BCFI,SAVI,NPPI,PPI,MMI,ackageName,IPCI,IIPUD,IIPED,PF,IPSC
11,org.eclipse.jdt.internal.codeassist,13,2,0,0,0,15,0.363636364,20,6,0.769230769,0.132867133,1.8,org.eclipse.jdt.internal.antadapter,1,0.977777778,1,1,1,0,0,org.eclipse.jdt.internal.antadapter,0.97826087,1,1,0,0
12,org.eclipse.jdt.internal.codeassist.complete,2,0,0,0,1,45,0.046511628,16,2,0.888888889,0.064599483,0.35,org.eclipse.jdt.internal.codeassist,0.466666667,0.266666667,0.727272727,0.949850311,0.954682779,0,0.090909091,org.eclipse.jdt.internal.codeassist,0.869565217,0.06268081,0.375,0,0
13,org.eclipse.jdt.internal.codeassist.impl,1,0,0,0,0,14,0.272727273,13,6,0.684210526,0.043062201,0.1,org.eclipse.jdt.internal.codeassist.complete,0.088888889,0.222222222,0.760416667,0.897400241,0.816602317,0.003824092,0.171428571,org.eclipse.jdt.internal.codeassist.complete,0.956521739,0.084489281,0.274193548,0,0
14,org.eclipse.jdt.internal.codeassist.select,1,0,0,0,0,23,0,15,1,0.9375,0.0625,0.1,org.eclipse.jdt.internal.codeassist.impl,0.214285714,0.071428571,0.692307692,0.9423115,0.909090909,0,0.005221932,org.eclipse.jdt.internal.codeassist.impl,0.869565217,0.103535354,0.545454545,0,0
15,org.eclipse.jdt.internal.compiler,10,1,0,0,1,21,0.615384615,15,25,0.375,0.009615385,1.4,org.eclipse.jdt.internal.codeassist.select,0.043478261,0.130434783,0.425362319,0.985231569,0.755555556,0.140625,0,org.eclipse.jdt.internal.codeassist.select,0.97826087,0.104683196,0.365079365,0,0
16,org.eclipse.jdt.internal.compiler.ast,59,3,1,0,0,109,0.172043011,13,24,0.351351351,0.476605638,6.9,org.eclipse.jdt.internal.compiler,0.822222222,0.380952381,0.5,0.956258011,0.937381404,0,0.004395604,org.eclipse.jdt.internal.compiler,0.456521739,0.096385542,0.666666667,0,0
17,org.eclipse.jdt.internal.compiler.batch,3,0,0,0,0,8,0.142857143,14,1,0.933333333,0.076190476,0.3,org.eclipse.jdt.internal.compiler.ast,0.911111111,0.027522936,0.806656948,0.776185335,0.891632373,0,0.120100083,org.eclipse.jdt.internal.compiler.ast,0.47826087,0.100684262,1,0,0
18,org.eclipse.jdt.internal.compiler.classfmt,0,0,0,0,0,14,0.166666667,11,25,0.305555556,0.527777778,0,org.eclipse.jdt.internal.compiler.batch,0.977777778,0.125,1,0.919789402,0.985611511,0,0,org.eclipse.jdt.internal.compiler.batch,0.956521739,0.135802469,1,0,0
19,org.eclipse.jdt.internal.compiler.codegen,8,2,1,0,0,18,0.2,13,7,0.65,0.15,1.55,org.eclipse.jdt.internal.compiler.classfmt,1,0.642857143,1,0.87367443,0.772413793,0,0,org.eclipse.jdt.internal.compiler.classfmt,0.456521739,0.175824176,1,0,0
20,org.eclipse.jdt.internal.compiler.env,0,0,0,0,0,22,2.666666667,3,23,0.115384615,1.782051282,0,org.eclipse.jdt.internal.compiler.codegen,1,0.555555556,1,0.825286243,0.967365967,0,0,org.eclipse.jdt.internal.compiler.codegen,0.847826087,0.134502924,1,0,0
21,org.eclipse.jdt.internal.compiler.flow,6,0,0,0,0,12,0.090909091,8,5,0.615384615,0.293706294,0.6,org.eclipse.jdt.internal.compiler.env,0.977777778,0.666666667,1,0.950858636,1,0,0,org.eclipse.jdt.internal.compiler.env,0.5,0.666666667,1,0,0
22,org.eclipse.jdt.internal.compiler.impl,1,0,0,0,0,14,0.272727273,11,28,0.282051282,0.445221445,0.1,org.eclipse.jdt.internal.compiler.flow,1,0,1,0.821165459,0.843137255,0,0.647272727,org.eclipse.jdt.internal.compiler.flow,0.891304348,0.194444444,1,0,0
23,org.eclipse.jdt.internal.compiler.lookup,59,14,3,0,4,60,0.25,13,26,0.333333333,0.416666667,10.75,org.eclipse.jdt.internal.compiler.impl,1,0.4,1,0.920647413,1,0,0.073482428,org.eclipse.jdt.internal.compiler.impl,0.391304348,0.173611111,1,0,0
24,org.eclipse.jdt.internal.compiler.parser,15,0,0,2,0,24,0.263157895,16,25,0.390243902,0.346598203,2,org.eclipse.jdt.internal.compiler.lookup,0.977777778,0.3,0.979166667,0.731539135,0.898177921,0,0.172698244,org.eclipse.jdt.internal.compiler.lookup,0.434782609,0.113432836,1,0,0
25,org.eclipse.jdt.internal.compiler.parser.diagnose,0,0,0,0,0,3,0,10,1,0.909090909,0.090909091,0,org.eclipse.jdt.internal.compiler.parser,0.777777778,0.208333333,0.754385965,0.763855767,0.933025404,0,0,org.eclipse.jdt.internal.compiler.parser,0.434782609,0.082917083,1,0,0
26,org.eclipse.jdt.internal.compiler.problem,8,1,0,0,2,10,0.111111111,12,26,0.315789474,0.573099415,1.35,org.eclipse.jdt.internal.compiler.parser.diagnose,1,0,1,0.916666667,1,0,0,org.eclipse.jdt.internal.compiler.parser.diagnose,0.97826087,0.166666667,1,0,0
27,org.eclipse.jdt.internal.compiler.util,1,0,0,0,0,20,0.052631579,11,28,0.282051282,0.665317139,0.1,org.eclipse.jdt.internal.compiler.problem,0.9,0.2,1,0.879967062,0.869565217,0,0,org.eclipse.jdt.internal.compiler.problem,0.434782609,0.1197411,1,0,0
28,org.eclipse.jdt.internal.core,50,6,4,0,1,156,0.138686131,39,14,0.735849057,0.125464812,7.65,org.eclipse.jdt.internal.compiler.util,0.977777778,0.4,1,0.903434365,1,0,0,org.eclipse.jdt.internal.compiler.util,0.391304348,0.314285714,1,0,0
29,org.eclipse.jdt.internal.core.builder,7,0,0,0,0,24,0.142857143,16,5,0.761904762,0.095238095,0.7,org.eclipse.jdt.internal.core,0.929487179,0.256410256,0.885561497,0.931179755,0.852649007,0.189709172,0.022556391,org.eclipse.jdt.internal.core,0.652173913,0.040097403,0.238095238,0,0
30,org.eclipse.jdt.internal.core.dom,0,0,0,0,0,1,0,2,0,0,1,0,org.eclipse.jdt.internal.core.builder,0.955555556,0.25,1,0.87176076,0.922330097,0.158730159,0.133333333,org.eclipse.jdt.internal.core.builder,0.891304348,0.111111111,1,0,0
31,org.eclipse.jdt.internal.core.dom.rewrite,3,0,0,0,0,14,0.166666667,10,1,0.909090909,0.075757576,0.3,org.eclipse.jdt.internal.core.dom,0,0,1,1,0.971563981,0,0,org.eclipse.jdt.internal.core.dom,0.97826087,1,1,0,0
32,org.eclipse.jdt.internal.core.eval,0,0,0,0,0,3,0,11,1,0.916666667,0.083333333,0,org.eclipse.jdt.internal.core.dom.rewrite,0.857142857,0.142857143,1,0.942919994,0.986206897,0,0,org.eclipse.jdt.internal.core.dom.rewrite,0.956521739,0.132478632,1,0,0
33,org.eclipse.jdt.internal.core.hierarchy,1,0,0,0,1,9,0.125,21,3,0.875,0,0.25,org.eclipse.jdt.internal.core.eval,1,0,1,0.888888889,0.890909091,0.058823529,0,org.eclipse.jdt.internal.core.eval,0.97826087,0.1225,1,0,0
34,org.eclipse.jdt.internal.core.index,1,0,0,0,0,4,0,7,3,0.7,0.3,0.1,org.eclipse.jdt.internal.core.hierarchy,1,0.111111111,1,0.885353535,0.898648649,0,0,org.eclipse.jdt.internal.core.hierarchy,0.934782609,0.063988095,1,0,0
35,org.eclipse.jdt.internal.core.jdom,0,0,0,0,0,15,0.25,13,1,0.928571429,0.178571429,0,org.eclipse.jdt.internal.core.index,1,0,1,0.877154503,1,0,0,org.eclipse.jdt.internal.core.index,0.934782609,0.266666667,1,0,0
36,org.eclipse.jdt.internal.core.search,3,3,0,0,0,17,0.307692308,20,5,0.8,0.107692308,1.05,org.eclipse.jdt.internal.core.jdom,0.933333333,0.266666667,1,0.955,0.812785388,0.234756098,0,org.eclipse.jdt.internal.core.jdom,0.956521739,0.106837607,1,0,0
37,org.eclipse.jdt.internal.core.search.indexing,6,0,0,0,0,17,0.214285714,23,5,0.821428571,0.035714286,0.6,org.eclipse.jdt.internal.core.search,0.823529412,0.176470588,0.9,0.984985252,0.917030568,0.007751938,0.111111111,org.eclipse.jdt.internal.core.search,0.869565217,0.070442992,1,0,0
38,org.eclipse.jdt.internal.core.search.matching,42,1,0,0,0,48,0.11627907,23,3,0.884615385,0.000894454,4.45,org.eclipse.jdt.internal.core.search.indexing,0.882352941,0.176470588,0.875,0.929571519,0.842105263,0.284023669,0,org.eclipse.jdt.internal.core.search.indexing,0.869565217,0.068421053,0.75,0,0
39,org.eclipse.jdt.internal.core.search.processing,0,0,0,0,0,2,0,2,5,0.285714286,0.714285714,0,org.eclipse.jdt.internal.core.search.matching,0.875,0.041666667,0.957446809,0.897668735,0.888607595,0.009615385,0,org.eclipse.jdt.internal.core.search.matching,0.913043478,0.054418605,0.4,0,0
40,org.eclipse.jdt.internal.core.util,11,0,0,0,0,67,0.063492063,25,20,0.555555556,0.380952381,1.1,org.eclipse.jdt.internal.core.search.processing,0.977777778,0.5,0,0.729347826,1,0,0,org.eclipse.jdt.internal.core.search.processing,0.869565217,1,1,0,0
41,org.eclipse.jdt.internal.eval,11,1,0,0,0,26,0.130434783,20,2,0.909090909,0.039525692,1.35,org.eclipse.jdt.internal.core.util,0.925373134,0.208955224,0.966666667,0.97009117,0.963902439,0,0,org.eclipse.jdt.internal.core.util,0.543478261,0.060921717,0.4,0,0
42,org.eclipse.jdt.internal.formatter,18,0,0,1,2,16,0.142857143,17,6,0.739130435,0.118012422,2.35,org.eclipse.jdt.internal.eval,0.5,0.153846154,0.85,0.937416722,0.921182266,0.063291139,0,org.eclipse.jdt.internal.eval,0.934782609,0.068627451,0.307692308,0,0
43,org.eclipse.jdt.internal.formatter.align,0,0,0,0,0,2,0,2,2,0.5,0.5,0,org.eclipse.jdt.internal.formatter,0.625,0.5625,0.916666667,0.8370916,0.907462687,0.203883495,0,org.eclipse.jdt.internal.formatter,0.869565217,0.078917051,0.4375,0,0
44,org.eclipse.jdt.internal.formatter.comment,0,0,0,0,0,16,0.6,10,1,0.909090909,0.509090909,0,org.eclipse.jdt.internal.formatter.align,1,0.5,1,0.776570048,1,0,0,org.eclipse.jdt.internal.formatter.align,0.956521739,1,1,0,0
45,org.eclipse.jdt.internal.formatter.old,0,0,0,0,0,1,0,7,1,0.875,0.125,0,org.eclipse.jdt.internal.formatter.comment,1,0.375,1,0.907798347,0.921052632,0,0,org.eclipse.jdt.internal.formatter.comment,0.97826087,0.270833333,1,0,0
46,org.eclipse.jdt.core.eval,0,0,0,0,0,3,0,3,2,0.6,0.4,0,org.eclipse.jdt.internal.formatter.old,1,0,1,1,0.857142857,0,0,org.eclipse.jdt.internal.formatter.old,0.97826087,0.314285714,1,0,0
