,Package.Name,bugs,majorBugs,criticalBugs,highPriorityBugs,nonTrivialBugs,N,A,Ce,Ca,I,D,Rsw ,PackageName,IC,AC,BCFI,SAVI,NPPI,PPI,MMI,PackageName,IPCI,IIPUD,IIPED,PF,IPSC
209,org.eclipse.mylyn.monitor.core,0,0,0,0,0,3,2,4,2,0.666666667,1.666666667,0,org.eclipse.mylyn.commons.net,0.988372093,0.833333333,1,0.938038793,1,0,0.008064516,org.eclipse.mylyn.commons.net,0.873563218,0.55,1,0,1
213,org.eclipse.mylyn.monitor.tests,0,0,0,0,0,3,0,4,0,0,1,0,org.eclipse.mylyn.commons.net.http,1,0.333333333,1,0.94348659,1,0,0,org.eclipse.mylyn.commons.net.http,0.977011494,0.4,1,0,1
214,org.eclipse.mylyn.monitor.ui,0,0,0,0,0,10,9,6,1,0.857142857,8.857142857,0,org.eclipse.mylyn.commons.notifications.core,0.965116279,0.666666667,1,1,1,0,0,org.eclipse.mylyn.commons.notifications.core,0.91954023,1,1,0,1
271,org.eclipse.mylyn.commons.activity.tests,0,0,0,0,0,3,0,5,0,0,1,0,org.eclipse.mylyn.commons.notifications.feed,1,0.333333333,1,1,1,0,0,org.eclipse.mylyn.commons.notifications.feed,0.988505747,0.625,1,0,1
272,org.eclipse.mylyn.commons.activity.ui,0,0,0,0,0,2,1,4,0,0,0,0,org.eclipse.mylyn.commons.notifications.tests,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.notifications.tests,1,0.666666667,1,0,0
273,org.eclipse.mylyn.commons.activity.ui.spi,0,0,0,0,0,1,0,1,2,0.333333333,0.666666667,0,org.eclipse.mylyn.commons.notifications.tests.core,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.notifications.tests.core,0.988505747,0.75,1,0,1
274,org.eclipse.mylyn.commons.core.io,0,0,0,0,0,7,0.166666667,6,0,0,0.833333333,0,org.eclipse.mylyn.commons.notifications.tests.feed,1,0,1,1,0.941176471,0,0,org.eclipse.mylyn.commons.notifications.tests.feed,0.988505747,0.375,1,0,1
275,org.eclipse.mylyn.commons.core.net,0,0,0,0,0,6,0.2,11,8,0.578947368,0.221052632,0,org.eclipse.mylyn.commons.notifications.ui,0.333333333,0.333333333,0.5,1,1,0,0,org.eclipse.mylyn.commons.notifications.ui,0.988505747,0.555555556,0.75,0,1
276,org.eclipse.mylyn.commons.core.operations,0,0,0,0,0,7,2.5,5,7,0.416666667,1.916666667,0,org.eclipse.mylyn.commons.repositories.core,1,0.833333333,1,0.978097404,0.967741935,0,0.012048193,org.eclipse.mylyn.commons.repositories.core,0.896551724,0.318181818,1,0,1
277,org.eclipse.mylyn.commons.core.storage,0,0,0,0,0,3,0.5,4,0,0,0.5,0,org.eclipse.mylyn.commons.repositories.core.auth,1,0.636363636,1,0.985184356,1,0,0.304964539,org.eclipse.mylyn.commons.repositories.core.auth,0.896551724,0.625,1,0,1
278,org.eclipse.mylyn.commons.identity.core,0,0,0,0,0,5,4,5,3,0.625,3.625,0,org.eclipse.mylyn.commons.repositories.http.core,1,0.428571429,1,0.974079287,1,0.045454545,0,org.eclipse.mylyn.commons.repositories.http.core,0.988505747,0.210526316,1,0,1
279,org.eclipse.mylyn.commons.identity.core.spi,0,0,0,0,0,4,1,3,2,0.6,0.6,0,org.eclipse.mylyn.commons.repositories.http.tests,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.repositories.http.tests,1,0.1796875,1,0,0
280,org.eclipse.mylyn.commons.net.http,0,0,0,0,0,3,2,5,1,0.833333333,1.833333333,0,org.eclipse.mylyn.commons.repositories.tests.core,1,0.125,1,1,0.725490196,0,0,org.eclipse.mylyn.commons.repositories.tests.core,1,0.3125,1,0,0
281,org.eclipse.mylyn.commons.notifications.core,0,0,0,0,0,6,2,4,5,0.444444444,1.444444444,0,org.eclipse.mylyn.commons.repositories.tests.support,1,0.988372093,1,1,1,0,0,org.eclipse.mylyn.commons.repositories.tests.support,0.988505747,1,1,0,1
282,org.eclipse.mylyn.commons.notifications.feed,0,0,0,0,0,3,0.5,6,1,0.857142857,0.357142857,0,org.eclipse.mylyn.commons.repositories.tests.ui,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.repositories.tests.ui,1,0.5,1,0,0
283,org.eclipse.mylyn.commons.notifications.tests,0,0,0,0,0,1,0,3,0,0,1,0,org.eclipse.mylyn.commons.repositories.ui,1,0.333333333,1,0.942229406,1,0,0,org.eclipse.mylyn.commons.repositories.ui,0.977011494,0.220779221,1,0,1
284,org.eclipse.mylyn.commons.notifications.tests.core,0,0,0,0,0,1,0,5,1,0.833333333,0.166666667,0,org.eclipse.mylyn.commons.sdk.util,1,0.8,1,0.985686252,1,0,0,org.eclipse.mylyn.commons.sdk.util,0.91954023,0.270833333,1,0,1
285,org.eclipse.mylyn.commons.notifications.tests.feed,0,0,0,0,0,2,0,7,1,0.875,0.125,0,org.eclipse.mylyn.commons.tests,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.tests,1,0.193277311,1,0,0
286,org.eclipse.mylyn.commons.notifications.ui,0,0,0,0,0,3,2,4,1,0.8,1.8,0,org.eclipse.mylyn.commons.tests.core,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.tests.core,0.988505747,0.428571429,1,0,1
287,org.eclipse.mylyn.commons.repositories.core,0,0,0,0,0,6,1,11,7,0.611111111,0.611111111,0,org.eclipse.mylyn.commons.tests.core.storage,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.tests.core.storage,0.988505747,0.666666667,1,0,1
288,org.eclipse.mylyn.commons.repositories.core.auth,0,0,0,0,0,11,0.222222222,4,7,0.363636364,0.414141414,0,org.eclipse.mylyn.commons.tests.manual,0.75,0.75,1,1,1,0,0,org.eclipse.mylyn.commons.tests.manual,1,1,1,0,0
289,org.eclipse.mylyn.commons.repositories.http.core,0,0,0,0,0,7,0.4,10,1,0.909090909,0.309090909,0,org.eclipse.mylyn.commons.tests.net,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.tests.net,0.988505747,0.196428571,1,0,1
290,org.eclipse.mylyn.commons.repositories.http.tests,0,0,0,0,0,4,0,11,0,0,1,0,org.eclipse.mylyn.commons.tests.operations,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.tests.operations,0.988505747,0.625,1,0,1
291,org.eclipse.mylyn.commons.repositories.tests.core,0,0,0,0,0,8,0.142857143,5,0,0,0.857142857,0,org.eclipse.mylyn.commons.tests.support,1,0.5,1,0.988864943,1,0,0,org.eclipse.mylyn.commons.tests.support,0.988505747,0.555555556,1,0,1
292,org.eclipse.mylyn.commons.repositories.tests.support,0,0,0,0,0,1,0,3,1,0.75,0.25,0,org.eclipse.mylyn.commons.tests.workbench.browser,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.tests.workbench.browser,0.988505747,0.75,1,0,1
293,org.eclipse.mylyn.commons.repositories.tests.ui,0,0,0,0,0,1,0,3,0,0,1,0,org.eclipse.mylyn.commons.tests.xmlrpc,1,0.333333333,1,1,1,0,0,org.eclipse.mylyn.commons.tests.xmlrpc,1,0.666666667,1,0,0
294,org.eclipse.mylyn.commons.repositories.ui,0,0,0,0,0,6,0.2,13,1,0.928571429,0.128571429,0,org.eclipse.mylyn.commons.ui,0.976744186,0.842105263,1,0.997657622,1,0,0,org.eclipse.mylyn.commons.ui,0.908045977,0.5625,1,0,1
295,org.eclipse.mylyn.commons.sdk.util,0,0,0,0,0,10,0.111111111,15,7,0.681818182,0.207070707,0,org.eclipse.mylyn.commons.ui.actions,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.ui.actions,1,0.75,1,0,0
296,org.eclipse.mylyn.commons.tests,0,0,0,0,0,1,0,8,0,0,1,0,org.eclipse.mylyn.commons.ui.compatibility,1,0.941860465,1,0.924056882,1,0,0,org.eclipse.mylyn.commons.ui.compatibility,0.942528736,1,1,0,1
297,org.eclipse.mylyn.commons.tests.core,0,0,0,0,0,5,0,7,1,0.875,0.125,0,org.eclipse.mylyn.commons.ui.dialogs,0.965116279,0.555555556,0.5,0.96811143,1,0,0,org.eclipse.mylyn.commons.ui.dialogs,0.931034483,0.444444444,1,0,1
298,org.eclipse.mylyn.commons.tests.core.storage,0,0,0,0,0,1,0,5,1,0.833333333,0.166666667,0,org.eclipse.mylyn.commons.ui.screenshots,1,0.5,1,1,1,0,0,org.eclipse.mylyn.commons.ui.screenshots,0.988505747,1,1,0,1
299,org.eclipse.mylyn.commons.tests.net,0,0,0,0,0,5,0,13,1,0.928571429,0.071428571,0,org.eclipse.mylyn.commons.ui.wizard,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.ui.wizard,1,0.75,1,0,0
300,org.eclipse.mylyn.commons.tests.operations,0,0,0,0,0,2,0,4,1,0.8,0.2,0,org.eclipse.mylyn.commons.workbench,0.882352941,0.529411765,1,0.991782007,1,0,0,org.eclipse.mylyn.commons.workbench,0.908045977,0.314285714,1,0,1
301,org.eclipse.mylyn.commons.tests.support,0,0,0,0,0,4,0,10,1,0.909090909,0.090909091,0,org.eclipse.mylyn.commons.workbench.browser,1,0.25,1,1,1,0,0,org.eclipse.mylyn.commons.workbench.browser,0.977011494,0.375,1,0,1
302,org.eclipse.mylyn.commons.tests.workbench.browser,0,0,0,0,0,1,0,3,1,0.75,0.25,0,org.eclipse.mylyn.commons.workbench.editors,1,1,1,1,1,0,0,org.eclipse.mylyn.commons.workbench.editors,1,1,1,0,0
303,org.eclipse.mylyn.commons.tests.xmlrpc,0,0,0,0,0,3,0,4,0,0,1,0,org.eclipse.mylyn.commons.workbench.forms,0.777777778,0.111111111,0.666666667,1,1,0,0,org.eclipse.mylyn.commons.workbench.forms,0.965517241,0.357142857,0.75,0,1
304,org.eclipse.mylyn.commons.ui,0,0,0,0,0,19,0.583333333,12,7,0.631578947,0.214912281,0,org.eclipse.mylyn.commons.workbench.search,1,0,1,1,1,0,0,org.eclipse.mylyn.commons.workbench.search,0.988505747,0.666666667,1,0,1
305,org.eclipse.mylyn.commons.ui.actions,0,0,0,0,0,2,0,3,0,0,1,0,org.eclipse.mylyn.commons.workbench.texteditor,1,1,1,1,1,0,0,org.eclipse.mylyn.commons.workbench.texteditor,1,1,1,0,0
306,org.eclipse.mylyn.commons.ui.compatibility,0,0,0,0,0,3,0,2,5,0.285714286,0.714285714,0,org.eclipse.mylyn.discovery.tests,1,0,1,1,1,0,0,org.eclipse.mylyn.discovery.tests,1,0.428571429,1,0,0
307,org.eclipse.mylyn.commons.ui.dialogs,0,0,0,0,0,9,1.25,9,6,0.6,0.85,0,org.eclipse.mylyn.discovery.tests.core,1,0,1,1,1,0,0,org.eclipse.mylyn.discovery.tests.core,0.988505747,0.37254902,1,0,1
308,org.eclipse.mylyn.commons.ui.screenshots,0,0,0,0,0,2,0,3,1,0.75,0.25,0,org.eclipse.mylyn.discovery.tests.core.mock,0.5,0.333333333,1,0.958333333,1,0.19047619,0,org.eclipse.mylyn.discovery.tests.core.mock,0.988505747,1,1,0,1
309,org.eclipse.mylyn.commons.ui.wizard,0,0,0,0,0,1,0,4,0,0,1,0,org.eclipse.mylyn.discovery.tests.core.util,1,0,1,1,1,0,0,org.eclipse.mylyn.discovery.tests.core.util,0.988505747,0.5625,1,0,1
310,org.eclipse.mylyn.commons.workbench,0,0,0,0,0,17,0.214285714,14,7,0.666666667,0.119047619,0,org.eclipse.mylyn.internal.commons.activity.ui,0.9,0.8,1,0.917490421,1,0,0,org.eclipse.mylyn.internal.commons.activity.ui,0.977011494,0.555555556,1,0,1
311,org.eclipse.mylyn.commons.workbench.browser,0,0,0,0,0,4,0.333333333,10,1,0.909090909,0.242424242,0,org.eclipse.mylyn.internal.commons.core,1,0.77777777777Use of uninitialized value $methodNum in numeric eq (==) at F:/RTSE-LAB-DATA/Mohsin/PerlWorkSpace/bin/PackageAnalysis4/Yang-Sarkar.pl line 925.,,,,,,org.eclipse.mylyn.internal.commons.core,0.91954023,1,1,0,1
312,org.eclipse.mylyn.commons.workbench.editors,0,0,0,0,0,1,0,2,0,0,1,0,7778,1,0.916395695,1,0,0,,,org.eclipse.mylyn.internal.commons.core.operations,0.977011494,1,1,0,1
313,org.eclipse.mylyn.commons.workbench.forms,0,0,0,0,0,9,0.285714286,13,3,0.8125,0.098214286,0,org.eclipse.mylyn.internal.commons.core.operations,1,0.976744186,1,1,1,0.068965517,0,org.eclipse.mylyn.internal.commons.identity.core,1,0.416666667,1,0,0
314,org.eclipse.mylyn.commons.workbench.search,0,0,0,0,0,2,0,5,1,0.833333333,0.166666667,0,org.eclipse.mylyn.internal.commons.identity.core,0.75,0.25,1,0.942708333,0.771428571,0,0,org.eclipse.mylyn.internal.commons.identity.core.gravatar,0.988505747,0.625,1,0,1
315,org.eclipse.mylyn.commons.workbench.texteditor,0,0,0,0,0,8,0.142857143,2,0,0,0.857142857,0,org.eclipse.mylyn.internal.commons.identity.core.gravatar,0.888888889,0.888888889,1,0.949074074,1,0,0,org.eclipse.mylyn.internal.commons.identity.ui,1,1,1,0,0
316,org.eclipse.mylyn.discovery.tests,0,0,0,0,0,1,0,4,0,0,1,0,org.eclipse.mylyn.internal.commons.identity.ui,1,0.714285714,1,1,1,0,0,org.eclipse.mylyn.internal.commons.net,0.954022989,0.5,1,0,1
317,org.eclipse.mylyn.discovery.tests.core,0,0,0,0,0,5,0,8,1,0.888888889,0.111111111,0,org.eclipse.mylyn.internal.commons.net,0.933333333,0.666666667,1,0.982777778,1,0.02020202,0,org.eclipse.mylyn.internal.commons.net.http,0.977011494,0.75,1,0,1
318,org.eclipse.mylyn.discovery.tests.core.mock,0,0,0,0,0,6,0.2,4,1,0.8,0,0,org.eclipse.mylyn.internal.commons.net.http,1,0.333333333,1,1,1,0,0,org.eclipse.mylyn.internal.commons.notifications.feed,0.977011494,0.75,1,0,1
319,org.eclipse.mylyn.discovery.tests.core.util,0,0,0,0,0,3,0,4,1,0.8,0.2,0,org.eclipse.mylyn.internal.commons.notifications.feed,0.833333333,0.666666667,1,0.902298851,1,0.018867925,0,org.eclipse.mylyn.internal.commons.notifications.ui,0.988505747,0.6,1,0,1
320,org.eclipse.mylyn.internal.commons.activity.ui,0,0,0,0,0,10,0.428571429,11,1,0.916666667,0.345238095,0,org.eclipse.mylyn.internal.commons.notifications.ui,1,0.769230769,1,0.960083826,1,0,0,org.eclipse.mylyn.internal.commons.notifications.ui.popup,1,0.314285714,0.75,0,0
321,org.eclipse.mylyn.internal.commons.core.operations,0,0,0,0,0,2,0,3,1,0.75,0.25,0,org.eclipse.mylyn.internal.commons.notifications.ui.popup,0.333333333,0.333333333,1,1,1,0,0,org.eclipse.mylyn.internal.commons.repositories.core,0.942528736,0.4,1,0,1
322,org.eclipse.mylyn.internal.commons.identity.core,0,0,0,0,0,4,0,8,0,0,1,0,org.eclipse.mylyn.internal.commons.repositories.core,1,0.6,1,0.889425287,0.782608696,0.533333333,0,org.eclipse.mylyn.internal.commons.repositories.http.core,0.977011494,1,1,0,1
323,org.eclipse.mylyn.internal.commons.identity.core.gravatar,0,0,0,0,0,9,1.25,13,1,0.928571429,1.178571429,0,org.eclipse.mylyn.internal.commons.repositories.http.core,1,0.333333333,1,1,1,0,0,org.eclipse.mylyn.internal.commons.repositories.ui,0.965517241,0.204545455,1,0,1
324,org.eclipse.mylyn.internal.commons.identity.ui,0,0,0,0,0,7,0,10,0,0,1,0,org.eclipse.mylyn.internal.commons.repositories.ui,1,0.272727273,1,0.970635034,1,0.076923077,0,org.eclipse.mylyn.internal.commons.repositories.ui.auth,0.988505747,0.226190476,1,0,1
325,org.eclipse.mylyn.internal.commons.net.http,0,0,0,0,0,3,0,5,1,0.833333333,0.166666667,0,org.eclipse.mylyn.internal.commons.repositories.ui.auth,1,0.166666667,1,0.942708333,1,0,0,org.eclipse.mylyn.internal.commons.repositories.ui.wizards,0.988505747,1,1,0,1
326,org.eclipse.mylyn.internal.commons.notifications.feed,0,0,0,0,0,6,0.2,9,1,0.9,0.1,0,org.eclipse.mylyn.internal.commons.repositories.ui.wizards,1,0.8,1,0.94,1,0,0,org.eclipse.mylyn.internal.commons.soap,0.988505747,1,1,0,1
327,org.eclipse.mylyn.internal.commons.notifications.ui,0,0,0,0,0,13,0,11,0,0,1,0,org.eclipse.mylyn.internal.commons.soap,1,0.988372093,1,1,1,0,0,org.eclipse.mylyn.internal.commons.ui,0.942528736,1,1,0,1
328,org.eclipse.mylyn.internal.commons.notifications.ui.popup,0,0,0,0,0,3,0,9,0,0,1,0,org.eclipse.mylyn.internal.commons.ui,1,0.941176471,1,0.967032574,1,0,0,org.eclipse.mylyn.internal.commons.ui.screenshots,0.988505747,1,1,0,1
329,org.eclipse.mylyn.internal.commons.repositories.core,0,0,0,0,0,5,0,10,3,0.769230769,0.230769231,0,org.eclipse.mylyn.internal.commons.ui.screenshots,1,0.988372093,1,0.823420485,1,0,0,org.eclipse.mylyn.internal.commons.workbench,0.954022989,1,1,0,1
330,org.eclipse.mylyn.internal.commons.repositories.http.core,0,0,0,0,0,3,0,9,1,0.9,0.1,0,org.eclipse.mylyn.internal.commons.workbench,1,0.953488372,1,0.863174182,1,0,0,org.eclipse.mylyn.internal.commons.xmlrpc,0.988505747,0.5625,1,0,1
331,org.eclipse.mylyn.internal.commons.repositories.ui,0,0,0,0,0,11,0,18,2,0.9,0.1,0,org.eclipse.mylyn.internal.commons.xmlrpc,1,0.733333333,1,0.996507937,1,0,0,org.eclipse.mylyn.internal.discovery.core,0.954022989,1,1,0,1
332,org.eclipse.mylyn.internal.commons.repositories.ui.auth,0,0,0,0,0,6,0.2,12,1,0.923076923,0.123076923,0,org.eclipse.mylyn.internal.discovery.core,1,0,1,0.869252874,1,0,0,org.eclipse.mylyn.internal.discovery.core.model,0.931034483,0.444444444,1,0,1
333,org.eclipse.mylyn.internal.commons.repositories.ui.wizards,0,0,0,0,0,5,0,7,1,0.875,0.125,0,org.eclipse.mylyn.internal.discovery.core.model,0.988372093,0.730769231,0.9375,0.962730213,1,0,0.015384615,org.eclipse.mylyn.internal.discovery.core.util,0.965517241,0.4,1,0,1
334,org.eclipse.mylyn.internal.commons.ui.screenshots,0,0,0,0,0,4,0,6,0,0,1,0,org.eclipse.mylyn.internal.discovery.core.util,1,0.666666667,1,0.978395062,1,0,0,org.eclipse.mylyn.internal.discovery.ui,0.988505747,0.666666667,1,0,1
335,org.eclipse.mylyn.internal.commons.workbench,0,0,0,0,0,2,0,3,3,0.5,0.5,0,org.eclipse.mylyn.internal.discovery.ui,1,0.666666667,1,0.942097701,1,0,0.333333333,org.eclipse.mylyn.internal.discovery.ui.commands,1,0.555555556,1,0,0
336,org.eclipse.mylyn.internal.commons.xmlrpc,0,0,0,0,0,15,0.153846154,9,1,0.9,0.053846154,0,org.eclipse.mylyn.internal.discovery.ui.commands,1,0.5,1,0.854166667,1,0,0,org.eclipse.mylyn.internal.discovery.ui.util,0.988505747,1,1,0,1
337,org.eclipse.mylyn.internal.discovery.core,0,0,0,0,0,1,0,2,4,0.333333333,0.666666667,0,org.eclipse.mylyn.internal.discovery.ui.util,1,0.988372093,1,1,1,0,0,org.eclipse.mylyn.internal.discovery.ui.wizards,0.977011494,0.210526316,1,0,1
338,org.eclipse.mylyn.internal.discovery.core.model,0,0,0,0,0,26,0.083333333,17,5,0.772727273,0.143939394,0,org.eclipse.mylyn.internal.discovery.ui.wizards,0.8,0.2,1,0.929663383,1,0,0,org.eclipse.mylyn.internal.monitor.core,0.988505747,1,1,0,1
339,org.eclipse.mylyn.internal.discovery.core.util,0,0,0,0,0,9,0.125,10,2,0.833333333,0.041666667,0,org.eclipse.mylyn.internal.monitor.core,1,1,1,0.747126437,1,0,0,org.eclipse.mylyn.internal.monitor.core.collection,1,0.75,1,0,0
340,org.eclipse.mylyn.internal.discovery.ui,0,0,0,0,0,6,1,9,1,0.9,0.9,0,org.eclipse.mylyn.internal.monitor.core.collection,1,0.428571429,1,0.977852505,1,0,0,org.eclipse.mylyn.internal.monitor.ui,0.977011494,0.416666667,1,0,1
341,org.eclipse.mylyn.internal.discovery.ui.commands,0,0,0,0,0,2,0,6,0,0,1,0,org.eclipse.mylyn.internal.monitor.ui,0.857142857,0.285714286,1,0.977048147,0.965517241,0,0,org.eclipse.mylyn.internal.provisional.commons.soap,1,0.583333333,1,0,0
342,org.eclipse.mylyn.internal.discovery.ui.util,0,0,0,0,0,2,1,2,1,0.666666667,0.666666667,0,org.eclipse.mylyn.internal.provisional.commons.soap,1,0.25,1,0.96875,1,0,0,org.eclipse.mylyn.monitor.core,0.965517241,0.75,1,0,1
343,org.eclipse.mylyn.internal.discovery.ui.wizards,0,0,0,0,0,5,0,14,2,0.875,0.125,0,org.eclipse.mylyn.monitor.core,1,0.666666667,1,1,1,0,0,org.eclipse.mylyn.monitor.tests,1,0.666666667,1,0,0
344,org.eclipse.mylyn.internal.monitor.core,0,0,0,0,0,1,0,1,0,0,1,0,org.eclipse.mylyn.monitor.tests,1,0.333333333,1,1,1,0,0,org.eclipse.mylyn.monitor.ui,0.977011494,0.466666667,1,0,1
,,,,,,,,,,,,,,org.eclipse.mylyn.monitor.ui,0.988372093,0.6,1,1,1,0,0,,,,,,
